atlas_id,housing_units
BK0101,19000
BK0102,29388
BK0103,11376
BK0104,23772
BK0201,12936
BK0202,19159
BK0203,15788
BK0204,13832
BK0261,0
BK0301,35389
BK0302,37453
BK0401,21567
BK0402,23523
BK0471,0
BK0501,14854
BK0502,15218
BK0503,20705
BK0504,8179
BK0505,16582
BK0571,0
BK0601,28064
BK0602,27254
BK0701,11314
BK0702,17843
BK0703,14297
BK0771,0
BK0801,11272
BK0802,39063
BK0891,0
BK0901,20425
BK0902,21507
BK1001,38658
BK1002,15581
BK1061,312
BK1091,0
BK1101,36366
BK1102,12339
BK1103,20337
BK1201,10146
BK1202,22710
BK1203,14768
BK1204,13181
BK1301,11580
BK1302,22402
BK1303,14328
BK1391,0
BK1401,27291
BK1402,16616
BK1403,19315
BK1501,19808
BK1502,16594
BK1503,28753
BK1601,15881
BK1602,21821
BK1701,19058
BK1702,13390
BK1703,16148
BK1704,15811
BK1771,4
BK1801,25117
BK1802,17923
BK1803,31810
BK1891,0
BK1892,0
BK1893,0
BK5591,0
BK5691,12
BK5692,0
BK5693,0
BX0101,21075
BX0102,15666
BX0201,5219
BX0202,14693
BX0291,0
BX0301,13541
BX0302,8494
BX0303,11172
BX0391,0
BX0401,26518
BX0402,12078
BX0403,17879
BX0491,0
BX0492,0
BX0501,19020
BX0502,17031
BX0503,11080
BX0601,6898
BX0602,11900
BX0603,12653
BX0701,16674
BX0702,21704
BX0703,15288
BX0801,13792
BX0802,10239
BX0803,20567
BX0901,26173
BX0902,13549
BX0903,13412
BX0904,13335
BX0991,0
BX1001,5627
BX1002,18178
BX1003,12118
BX1004,16675
BX1071,0
BX1091,0
BX1101,11679
BX1102,9075
BX1103,9718
BX1104,15375
BX1161,0
BX1201,22531
BX1202,18335
BX1203,18496
BX1271,0
BX2691,0
BX2791,5
BX2891,23
MN0101,28376
MN0102,11647
MN0191,38
MN0201,14527
MN0202,19558
MN0203,23424
MN0301,19716
MN0302,22910
MN0303,36943
MN0401,41818
MN0402,37880
MN0501,18223
MN0502,18838
MN0601,11340
MN0602,17381
MN0603,36594
MN0604,31153
MN0661,0
MN0701,44322
MN0702,58603
MN0703,25915
MN0801,52929
MN0802,37894
MN0803,48874
MN0901,14523
MN0902,9062
MN0903,21200
MN1001,22783
MN1002,38894
MN1101,28715
MN1102,30051
MN1191,0
MN1201,30790
MN1202,31453
MN1203,16561
MN1291,0
MN1292,0
MN6491,0
QN0101,23006
QN0102,8984
QN0103,27750
QN0104,18203
QN0105,14837
QN0151,0
QN0161,4
QN0171,0
QN0191,0
QN0201,17321
QN0202,22765
QN0203,18689
QN0261,0
QN0271,0
QN0301,39553
QN0302,10757
QN0303,10014
QN0401,34919
QN0402,21209
QN0501,16190
QN0502,26777
QN0503,13328
QN0504,14095
QN0571,14
QN0572,0
QN0573,0
QN0574,8
QN0601,13779
QN0602,42993
QN0701,9984
QN0702,11580
QN0703,11281
QN0704,20846
QN0705,11185
QN0706,6189
QN0707,26578
QN0761,0
QN0791,0
QN0801,13454
QN0802,13050
QN0803,8314
QN0804,9396
QN0805,14786
QN0871,0
QN0891,0
QN0901,11188
QN0902,10753
QN0903,6503
QN0904,7720
QN0905,12429
QN1001,23827
QN1002,7963
QN1003,12145
QN1091,0
QN1101,13163
QN1102,13621
QN1103,10748
QN1104,10428
QN1191,0
QN1201,17958
QN1202,12905
QN1203,13577
QN1204,12786
QN1205,16808
QN1206,7293
QN1301,10016
QN1302,8834
QN1303,17624
QN1304,6699
QN1305,9176
QN1306,6453
QN1307,8403
QN1371,0
QN1401,20464
QN1402,16414
QN1403,12000
QN1491,0
QN8081,0
QN8191,0
QN8291,0
QN8381,0
QN8491,0
QN8492,8
SI0101,8473
SI0102,6817
SI0103,9886
SI0104,13840
SI0105,11542
SI0106,7130
SI0107,11652
SI0191,0
SI0201,13603
SI0202,10281
SI0203,11552
SI0204,16041
SI0291,0
SI0301,8244
SI0302,21098
SI0303,11198
SI0304,15013
SI0305,6376
SI0391,9
SI9561,190
SI9591,0
SI9592,66
SI9593,0
