atlas_id,population
BK0101,37518
BK0102,63316
BK0103,47065
BK0104,53478
BK0201,24775
BK0202,38546
BK0203,35051
BK0204,27368
BK0261,0
BK0301,89224
BK0302,92298
BK0401,55156
BK0402,62987
BK0471,0
BK0501,42755
BK0502,44841
BK0503,52314
BK0504,15917
BK0505,48572
BK0571,0
BK0601,63167
BK0602,60202
BK0701,27023
BK0702,53050
BK0703,46012
BK0771,0
BK0801,24082
BK0802,87451
BK0891,0
BK0901,51880
BK0902,48477
BK1001,85796
BK1002,43548
BK1061,1310
BK1091,0
BK1101,102241
BK1102,33765
BK1103,60810
BK1201,30773
BK1202,84493
BK1203,39486
BK1204,38337
BK1301,29353
BK1302,51871
BK1303,31295
BK1391,0
BK1401,69495
BK1402,42020
BK1403,53963
BK1501,53438
BK1502,42801
BK1503,68331
BK1601,40043
BK1602,49099
BK1701,45024
BK1702,35993
BK1703,40186
BK1704,37761
BK1771,24
BK1801,71676
BK1802,46698
BK1803,90185
BK1891,0
BK1892,0
BK1893,0
BK5591,0
BK5691,20
BK5692,0
BK5693,0
BX0101,54828
BX0102,42674
BX0201,14509
BX0202,40395
BX0291,0
BX0301,35703
BX0302,24648
BX0303,29120
BX0391,0
BX0401,68876
BX0402,33144
BX0403,52923
BX0491,0
BX0492,0
BX0501,55415
BX0502,48934
BX0503,33865
BX0601,18633
BX0602,32097
BX0603,35619
BX0701,47047
BX0702,56967
BX0703,41357
BX0801,36201
BX0802,26452
BX0803,47309
BX0901,68566
BX0902,36401
BX0903,39440
BX0904,30824
BX0991,0
BX1001,16137
BX1002,49408
BX1003,28126
BX1004,37285
BX1071,0
BX1091,0
BX1101,30701
BX1102,22807
BX1103,30315
BX1104,36771
BX1161,544
BX1201,62282
BX1202,57325
BX1203,49639
BX1271,0
BX2691,0
BX2791,15
BX2891,52
MN0101,48262
MN0102,23993
MN0191,0
MN0201,23294
MN0202,32580
MN0203,31984
MN0301,41533
MN0302,45118
MN0303,70450
MN0401,62761
MN0402,55169
MN0501,28209
MN0502,21093
MN0601,22327
MN0602,27291
MN0603,58079
MN0604,41355
MN0661,0
MN0701,65253
MN0702,102851
MN0703,53542
MN0801,81894
MN0802,54910
MN0803,80475
MN0901,38346
MN0902,23847
MN0903,53595
MN1001,50774
MN1002,83057
MN1101,59773
MN1102,64720
MN1191,1845
MN1201,82547
MN1202,83526
MN1203,42900
MN1291,0
MN1292,21
MN6491,0
QN0101,48555
QN0102,13273
QN0103,47618
QN0104,36805
QN0105,26078
QN0151,6661
QN0161,35
QN0171,0
QN0191,0
QN0201,24301
QN0202,49937
QN0203,48799
QN0261,0
QN0271,0
QN0301,93703
QN0302,25017
QN0303,42928
QN0401,104009
QN0402,73657
QN0501,43999
QN0502,73527
QN0503,36257
QN0504,37098
QN0571,14
QN0572,0
QN0573,0
QN0574,20
QN0601,30274
QN0602,92512
QN0701,31377
QN0702,31085
QN0703,23745
QN0704,56025
QN0705,30768
QN0706,20744
QN0707,59360
QN0761,0
QN0791,0
QN0801,35489
QN0802,36510
QN0803,22124
QN0804,25084
QN0805,41024
QN0871,0
QN0891,0
QN0901,24167
QN0902,35842
QN0903,23436
QN0904,26450
QN0905,41984
QN1001,86560
QN1002,25905
QN1003,30915
QN1091,0
QN1101,35803
QN1102,36255
QN1103,26547
QN1104,27411
QN1191,94
QN1201,59260
QN1202,45556
QN1203,44511
QN1204,31849
QN1205,55619
QN1206,23229
QN1301,25349
QN1302,28325
QN1303,59042
QN1304,21653
QN1305,28918
QN1306,23707
QN1307,27169
QN1371,0
QN1401,65068
QN1402,44546
QN1403,26170
QN1491,0
QN8081,0
QN8191,0
QN8291,0
QN8381,0
QN8491,0
QN8492,13
SI0101,18063
SI0102,16355
SI0103,24024
SI0104,35577
SI0105,31941
SI0106,19701
SI0107,33869
SI0191,0
SI0201,37485
SI0202,28775
SI0203,32814
SI0204,43695
SI0291,0
SI0301,21333
SI0302,55978
SI0303,31650
SI0304,44207
SI0305,16919
SI0391,23
SI9561,525
SI9591,0
SI9592,260
SI9593,0
